State,County,FIPS_code,count,avg_site_score,sum_site_score
PA,Blair,42013.0,1.0,41.08,41.08
TX,Hunt,48231.0,1.0,40.81,40.81
MO,Scott,29201.0,1.0,40.7,40.7
VA,Buckingham,51029.0,1.0,40.7,40.7
IN,Knox,18083.0,1.0,40.63,40.63
NJ,Cape May,34009.0,1.0,40.45,40.45
NC,Mecklenburg,37119.0,1.0,40.43,40.43
NC,Beaufort,37013.0,1.0,40.39,40.39
PA,Mifflin,42087.0,1.0,40.37,40.37
MI,Lake,26085.0,1.0,40.03,40.03
WI,Kewaunee,55061.0,1.0,39.99,39.99
TX,Harrison,48203.0,1.0,39.83,39.83
MI,Ottawa,26139.0,1.0,39.66,39.66
MS,Coahoma,28027.0,1.0,39.43,39.43
OH,Guernsey,39059.0,1.0,39.42,39.42
NM,San Juan,35045.0,1.0,39.37,39.37
WY,Laramie,56021.0,1.0,39.23,39.23
AZ,Cochise,4003.0,1.0,39.09,39.09
NV,Lyon,32019.0,1.0,39.07,39.07
WI,Green Lake,55047.0,1.0,39.04,39.04
NM,Lincoln,35027.0,1.0,38.93,38.93
WA,Yakima,53077.0,1.0,38.8,38.8
MA,Hampden,25013.0,1.0,38.66,38.66
MI,Genesee,26049.0,1.0,38.64,38.64
NH,Carroll,33003.0,1.0,38.45,38.45
MI,Clare,26035.0,1.0,38.43,38.43
MS,Harrison,28047.0,1.0,38.4,38.4
MT,Gallatin,30031.0,1.0,38.29,38.29
CT,Litchfield,9005.0,1.0,38.05,38.05
IA,Jefferson,19101.0,1.0,38.05,38.05
MN,Otter Tail,27111.0,1.0,37.98,37.98
CA,Merced,6047.0,1.0,37.93,37.93
FL,Madison,12079.0,1.0,37.93,37.93
NC,Cabarrus,37025.0,1.0,37.93,37.93
NY,Putnam,36079.0,1.0,37.93,37.93
OR,Wasco,41065.0,1.0,37.93,37.93
MN,Rice,27131.0,1.0,37.87,37.87
TN,Fayette,47047.0,1.0,37.65,37.65
SC,Pickens,45077.0,1.0,37.63,37.63
MI,Iosco,26069.0,1.0,37.29,37.29
